,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
0,11 Comae Berenices b,305.0,19.4 Jupiters,4.74,2007,Gas Giant,1.08 x Jupiter,1.29 AU,326 days,0.23,11 Com,Radial Velocity,0.0,,,,,19.4,1.5,-1.5,0.0,Msini,,,,,,,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,1.92,-1.92,0.0,93.37,1.92,-1.92,0.0,4.74,,0.0,V (Johnson),4.372,,0.0,4742.0,100.0,-100.0,0.0,2.7,0.3,-0.3,0.0,19.0,2.0,-2.0,0.0,2014-05-14,Xinglong Station
1,11 Ursae Minoris b,410.0,14.74 Jupiters,5.016,2009,Gas Giant,1.09 x Jupiter,1.53 AU,1.4 years,0.08,11 UMi,Radial Velocity,0.0,,,,,14.74,2.5,-2.5,0.0,Msini,,,,,,,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,1.97,-1.97,0.0,125.72,1.97,-1.97,0.0,5.016,0.009,0.0,V (Johnson),4.5,,0.0,4213.0,46.0,-46.0,0.0,2.78,0.69,-0.69,0.0,29.79,2.84,-2.84,0.0,2018-09-06,Thueringer Landessternwarte Tautenburg
2,14 Andromedae b,247.0,4.8 Jupiters,5.227,2008,Gas Giant,1.15 x Jupiter,0.83 AU,185.8 days,0.0,14 And,Radial Velocity,0.0,,,,,4.8,,,0.0,Msini,,,,,,,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,0.71,-0.71,0.0,75.59,0.71,-0.71,0.0,5.227,0.009,0.0,V (Johnson),4.872,,0.0,4813.0,20.0,-20.0,0.0,2.2,0.1,-0.2,0.0,11.0,1.0,-1.0,0.0,2014-05-14,Okayama Astrophysical Observatory
3,14 Herculis b,59.0,4.66 Jupiters,6.61,2002,Gas Giant,1.15 x Jupiter,2.93 AU,4.9 years,0.37,14 Her,Radial Velocity,0.0,,,,,4.66,0.15,-0.15,0.0,Msini,,,,,,,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,0.01,-0.01,0.0,17.94,0.01,-0.01,0.0,6.61,0.02,0.0,V (Johnson),6.379,,0.0,5338.0,25.0,-25.0,0.0,0.9,0.04,-0.04,0.0,0.93,0.01,-0.01,0.0,2018-09-06,W. M. Keck Observatory
4,16 Cygni B b,69.0,1.78 Jupiters,6.25,1996,Gas Giant,1.2 x Jupiter,1.66 AU,2.2 years,0.68,16 Cyg B,Radial Velocity,0.0,,,,,1.78,0.08,-0.08,0.0,Msini,,,,,,,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,0.01,-0.01,0.0,21.15,0.01,-0.01,0.0,6.25,,0.0,V (Johnson),6.057,,0.0,5750.0,8.0,-8.0,0.0,1.08,0.04,-0.04,0.0,1.13,0.01,-0.01,0.0,2018-09-06,Multiple Observatories
5,18 Delphini b,249.0,10.3 Jupiters,5.506,2008,Gas Giant,1.11 x Jupiter,2.6 AU,2.7 years,0.08,18 Del,Radial Velocity,0.0,,,,,10.3,,,0.0,Msini,,,,,,,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,0.62,-0.62,0.0,76.38,0.62,-0.62,0.0,5.506,0.009,0.0,V (Johnson),5.244,,0.0,4979.0,18.0,-18.0,0.0,2.3,,,0.0,8.5,,,0.0,2014-05-14,Okayama Astrophysical Observatory
6,1RXS J160929.1-210524 b,473.0,8 Jupiters,12.057,2008,Gas Giant,1.664 x Jupiter,330.0 AU,6505.9 years,0.0,1RXS J160929.1-210524,Imaging,,,,,,8.0,1.0,-1.0,0.0,Mass,,,,,,,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.0,14.0,-14.0,0.0,139.67,1.32,-1.32,0.0,,,,,12.057,,0.0,4060.0,300.0,-200.0,0.0,0.85,0.2,-0.1,0.0,,,,,2015-04-01,Gemini Observatory
7,24 Bootis b,314.0,0.91 Jupiters,5.58,2018,Gas Giant,1.24 x Jupiter,0.19 AU,30.4 days,0.04,24 Boo,Radial Velocity,0.0,,,,,0.91,0.13,-0.1,0.0,Msini,,,,,,,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,0.64,-0.64,0.0,96.25,0.64,-0.64,0.0,5.58,,0.0,V (Johnson),5.305,,0.0,4893.0,15.0,-15.0,0.0,0.99,0.19,-0.13,0.0,10.64,0.84,-0.59,0.0,2018-04-26,Okayama Astrophysical Observatory
8,24 Sextantis b,236.0,1.99 Jupiters,6.441,2010,Gas Giant,1.19 x Jupiter,1.333 AU,452.8 days,0.09,24 Sex,Radial Velocity,0.0,,,,,1.99,0.26,-0.38,0.0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0.0,72.21,0.68,-0.68,0.0,6.441,0.01,0.0,V (Johnson),6.198,,0.0,5098.0,44.0,-44.0,0.0,1.54,0.08,-0.08,0.0,4.9,0.08,-0.08,0.0,2014-05-14,Lick Observatory
9,24 Sextantis c,236.0,0.86 Jupiters,6.441,2010,Gas Giant,1.24 x Jupiter,2.08 AU,2.4 years,0.29,24 Sex,Radial Velocity,0.0,,,,,0.86,0.35,-0.22,0.0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0.0,72.21,0.68,-0.68,0.0,6.441,0.01,0.0,V (Johnson),6.198,,0.0,5098.0,44.0,-44.0,0.0,1.54,0.08,-0.08,0.0,4.9,0.08,-0.08,0.0,2014-05-14,Lick Observatory
